Nombre de Cuenta,Tipo de Cuenta,Nombre de Modulo Activo,Producto,Cantidad de PC,Cantidad de teléfonos Mobile,Cantidad de Usuarios,Calificación,Fecha de  Venta,Fecha de Alta,Fecha de baja Paljet,Fecha de Inicio PalJetERP,Estado
LUBRITODO,Cliente,LUBRITODO - Factura de crédito electrónica,Módulo Factura de crédito electrónica,11,,,Activo,30/04/2015,30/04/2015,,01/10/2015,
LUBRITODO,Cliente,LUBRITODO - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),11,,,Activo,30/04/2015,30/04/2015,,01/10/2015,Activo
DISSER,Cliente,DISSER - Facturacion electronica (CAE),Módulo Facturación electrónica (CAE),9,,,Activo,26/05/2015,26/05/2015,,01/09/2015,
DISSER,Cliente,DISSER - Contabilidad,Módulo Contabilidad,9,,,Activo,26/05/2015,26/05/2015,,01/09/2015,
CURBA,Cliente,CURBA - Facturacion electronica (CAE),Módulo Facturación electrónica (CAE),9,,,Activo,07/01/2015,07/01/2015,,02/01/2016,
CURBA,Cliente,CURBA - Multiempresa,PalJet ERP Empresa adicional,9,,,Activo,07/01/2015,07/01/2015,,02/01/2016,
CERAMICA NORTE,Cliente,CERAMICA NORTE - Facturación electrónica (CAE),Módulo Facturación electrónica (CAE),29,,,Activo,30/12/2014,30/12/2014,,01/07/2015,
CERAMICA NORTE,Cliente,CERAMICA NORTE - Contabilidad,Módulo Contabilidad,29,,,Activo,30/12/2014,30/12/2014,,01/07/2015,
CERAMICA NORTE,Cliente,CERAMICA NORTE - Logística,Módulo Logística,29,,,Activo,30/12/2014,30/12/2014,,01/07/2015,
CERAMICA NORTE,Cliente,CERAMICA NORTE - Sincronismo de Base de Datos,Sincronismo de Base de datos (actualización de artículos y precios),29,,,Activo,30/12/2014,30/12/2014,,01/07/2015,Activo
CERAMICA NORTE,Cliente,CERAMICA NORTE - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),29,,,Activo,30/12/2014,30/12/2014,,01/07/2015,Activo
